"","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","moduleColor","GS.GDAT_BW","p.GS.GDAT_BW","GS.TG_nmol_gWW","p.GS.TG_nmol_gWW","GS.TG_nmol_gWW.1","p.GS.glucose_norm","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.red","p.MM.red","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.green","p.MM.green"
"254","eicosapentaenoate (EPA; 20:5n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.345928782819685,0.0199315834028753,0.150612172727705,0.323371036244153,0.182320941138844,0.230641584287076,0.421319841703217,0.00394818908009128,-0.492345354156412,0.000591597056911601,0.352445621461323,0.0175728707496659,0.906699949285926,1.00388392090762e-17,-0.236453366591744,0.117862220315632,-0.14291643883537,0.348988048047433,-0.509741254860063,0.000348065968616313,0.0818234820797132,0.593106208838896,0.380294642277776,0.00996816359637322
"255","eicosenoate (20:1n9 or 1n11)","Lipid","Long Chain Monounsaturated Fatty Acid","brown",0.186668360987297,0.219522606040361,0.124082592556832,0.416737885258683,0.0139657590290435,0.927450312774036,0.320752006798655,0.031694646191545,-0.505500838604872,0.000397146878714366,0.464698045459404,0.00130010705572552,0.936674499404295,3.2765089673939e-21,-0.171447727788228,0.260121162305955,-0.196462317569613,0.195848111022169,-0.609687550379636,8.76649126465947e-06,0.0657646035299174,0.667768096560235,0.28522936132487,0.0575387082328232
"256","erucate (22:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid","brown",0.0694568605790232,0.650284041241074,-0.132220530548239,0.386592587448379,-0.0948178485155005,0.535549449096254,0.148115922302208,0.331547484680768,-0.216842711738989,0.152493410380153,0.437758929686142,0.00263570508122603,0.780104599794858,2.67143445863078e-10,0.073883312350547,0.629566204345701,-0.107935587895579,0.480346823421897,-0.43350308241106,0.00293197869699572,0.120689373186792,0.429691666472174,0.13420582512721,0.379438340791035
"257","glucuronate","Carbohydrate","Aminosugar Metabolism","brown",0.00868545313565239,0.954843715756521,-0.0891351229281403,0.560383807001716,-0.263732830644026,0.0800270636585515,-0.0215123013511293,0.88845128078945,-0.0475593388219243,0.756381822649187,0.190435888672464,0.210191622732007,0.524492750981763,0.000216983075965403,0.258285564936327,0.0866981448511105,-0.116140409613518,0.447406309219471,-0.334473800324534,0.0247235767613249,0.0143580904336285,0.925417877445332,-0.142902274401604,0.349036313777761
"258","glycerol","Lipid","Glycerolipid Metabolism","brown",0.351961456451789,0.0177395943011641,0.208155549429218,0.170019812760027,0.341260931161117,0.0217802996605002,0.258116139420297,0.0869123710887816,-0.363590800778453,0.0140853491146577,0.407715478085058,0.00543585964885271,0.68458877590704,2.14969561379381e-07,-0.142680355876674,0.349793041630919,0.155408659596692,0.30801944759924,-0.441404224251276,0.00240325370900228,0.047658958246063,0.755887180905342,0.412273763186551,0.00489062459473258
"259","glycerophosphoethanolamine","Lipid","Phospholipid Metabolism","brown",-0.164168332812639,0.28120487749787,-0.260591462129744,0.0838232096789154,-0.191938665820854,0.206548117626555,0.192213315391957,0.205887036377261,0.200414036792087,0.186826743621804,-0.0599118840092498,0.695839308928538,0.319164019174807,0.0325971907658648,0.37030640784398,0.0122829561911613,-0.424502290222144,0.00365671507147517,0.26359028062515,0.0801963554729957,0.48223685739582,0.000795026170076226,-0.333543419084131,0.0251518016263801
"260","glycerophosphoinositol*","Lipid","Phospholipid Metabolism","brown",0.121866115431496,0.425174049190619,0.0182587726578854,0.905238361932315,0.0646828393104846,0.672924251189555,0.161562708533051,0.289016090785186,-0.39134262026707,0.00785412254363905,0.370432311536286,0.0122511420859979,0.534293099556007,0.000156597478366929,-0.0124435685522692,0.935340082807233,0.0537781630274387,0.725695447192767,-0.238732772994724,0.114259312140177,0.124396024997815,0.41555266285041,0.24384404134865,0.106484849791311
"261","glycylleucine","Peptide","Dipeptide","brown",-0.0734950533607046,0.631372525234531,-0.126134934266026,0.409012079638896,-0.146391718142702,0.337269690559151,0.234910898393793,0.12034863841983,0.15754716804848,0.301327486987274,0.024993635592776,0.870542282913156,0.530478239974762,0.000178006226295136,0.307487044698911,0.039906412401772,-0.254513339216575,0.0915661321791948,0.0360660679726319,0.814048231427355,0.207058964279678,0.172331610263581,-0.215334162372713,0.155437638076486
"262","glycylvaline","Peptide","Dipeptide","brown",-0.170617228376491,0.262471722168849,-0.340176762016807,0.022229688571409,-0.133612574197079,0.381567915299431,0.0235986125431512,0.877711512554479,0.359791739877962,0.0152012593456522,-0.0324862397463722,0.832225839295242,0.374493640536706,0.0112619911021206,0.305887264348206,0.0410048720351138,-0.0918990736974199,0.548237902888802,0.252810230589475,0.0938322116813237,0.45499310752753,0.00168815858334052,-0.137131002035615,0.369041424757344
"263","guanidinoacetate","Amino Acid","Creatine Metabolism","brown",-0.0345460618796073,0.821755287605688,0.172460375413991,0.257274139264646,0.258963656484448,0.085844861206525,0.200658562086663,0.18627841451476,-0.139140378516372,0.361999597323137,0.333937232193596,0.0249697922187723,0.0247907254224001,0.871584444638737,-0.163230427574666,0.284000474741987,0.137771704701767,0.366787222839662,-0.00721971000395585,0.962458239566379,0.0898639885906532,0.557168704912596,0.118010447628849,0.440075973310416
